Product_info,Price,star_info,Reviews,Ratings,Features
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition with Voice Search,"₹18,499",4.4,"2,464","19,154","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel']"
SAMSUNG Crystal 4K Pro 138 cm (55 inch) Ultra HD (4K) LED Smart TV with Voice Search,"₹56,999",4.3,116,829,"['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 1 x USB', '1 Year Product Warranty and 1 Year Additional on Panel']"
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999",4.4,"63,178","6,10,963","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year Warranty on Product and Additional 1 Year Warranty on Panel']"
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999",4.2,260,"3,071","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year on Product and 2 Years for Panel']"
Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV,"₹22,999",4.4,"63,178","6,10,963","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year on TV, 2 years on Panel, 6 Months on Accessories']"
Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹29,999",4.3,"8,218","61,107","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year on TV, 2 years on Panel, 6 Months on Accessories']"
Mi 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹34,999",4.3,"8,218","61,107","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year on Product and 1 Additional Year for Panel']"
SAMSUNG The Frame 2020 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,"₹1,29,999",4.6,578,"3,679","['Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '40 W Speaker Output', '120 Hz Refresh Rate', '4 x HDMI | 2 x USB', '1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel']"
realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999",4.3,"15,539","1,28,445","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year Domestic Warranty, 2 Years on Panel']"
LG 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,"₹16,999",4.4,"2,177","24,877","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: WebOS', 'HD Ready 1366 x 768 Pixels', '10 W Speaker Output', '50 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'NA', '1 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module']"
